ID,Name,Category,URL
106,Confident_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Confident_Walk.gif
107,Confident_Strut,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Confident_Strut.gif
108,Flirty_Strut,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Flirty_Strut.gif
109,Groovy_Walk,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Groovy_Walk.gif
110,Hello_Run,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Hello_Run.gif
111,Injured_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Injured_Walk.gif
112,Monster_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Monster_Walk.gif
113,Mummy_Stagger,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Mummy_Stagger.gif
114,Proud_Strut,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Proud_Strut.gif
115,Quick_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Quick_Walk.gif
116,Run_to_Walk_Transition,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Run_to_Walk_Transition.gif
117,Red_Carpet_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Red_Carpet_Walk.gif
118,Skip_Forward,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Skip_Forward.gif
119,Slow_Orc_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Slow_Orc_Walk.gif
120,Touch_and_Run,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Touch_and_Run.gif
121,Thoughtful_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Thoughtful_Walk.gif
122,Texting_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Texting_Walk.gif
123,Unsteady_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Unsteady_Walk.gif
124,Walking_with_Phone,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Walking_with_Phone.gif
125,Charged_Spell_Cast,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Charged_Spell_Cast.gif
126,Charged_Spell_Cast_1,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Charged_Spell_Cast_1.gif
127,Charged_Ground_Slam,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Charged_Ground_Slam.gif
128,Heavy_Hammer_Swing,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Heavy_Hammer_Swing.gif
129,mage_soell_cast,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast.gif
130,mage_soell_cast_1,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_1.gif
131,mage_soell_cast_2,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_2.gif
132,mage_soell_cast_3,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_3.gif
133,mage_soell_cast_4,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_4.gif
134,mage_soell_cast_5,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_5.gif
135,mage_soell_cast_6,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_6.gif
136,mage_soell_cast_7,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_7.gif
137,mage_soell_cast_8,CastingSpell,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/mage_soell_cast_8.gif
138,Block1,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block1.gif
139,Block2,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block2.gif
140,Block3,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block3.gif
141,Block4,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block4.gif
142,Block5,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block5.gif
143,Block6,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block6.gif
144,Block8,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block8.gif
145,Block9,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block9.gif
146,Block10,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Block10.gif
147,Sword_Parry,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry.gif
148,Sword_Parry_Backward,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry_Backward.gif
149,Two_Handed_Parry,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Two_Handed_Parry.gif
150,Hit_Reaction_with_Bow,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Hit_Reaction_with_Bow.gif
151,Sword_Parry_Backward_1,Blocking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sword_Parry_Backward_1.gif
